how_old_are_you,industry,job_title,annual_salary,currency,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
25-34,Engineering or Manufacturing,Mechanical design engineer,63440,USD,United States,Oklahoma,Oklahoma City,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Computing or Tech,Staff Software Engineer,250000,USD,US,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Nonprofits,Data & Analytics Director,88000,USD,United States of America,New York,New York,5-7 years,5-7 years,College degree,Man,White
25-34,Insurance,Operations manager,104000,USD,Usa,Oregon,Portland,8 - 10 years,5-7 years,Master's degree,Man,White
35-44,"Accounting, Banking & Finance",Operations Supervisor,49955,USD,US,Nebraska,Lincoln,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Computing or Tech,Team Assistant,34000,GBP,UK,NA,London,5-7 years,2 - 4 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Instructional design consultant,74000,USD,US,Iowa,Des Moines,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Health care,RN Quality Reviewer,71400,USD,UnitedStates,Virginia,Richmond,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Executive Director,82400,USD,USA,Washington,Seattle,11 - 20 years,8 - 10 years,College degree,Woman,White
18-24,Restaurant,Restaurant Manager,38000,USD,USA,Oklahoma,Broken Arrow,5-7 years,2 - 4 years,Some college,Woman,White
35-44,Engineering or Manufacturing,Product Leader - manager,140000,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Computing or Tech,senior software engineer,155000,USD,us,Maryland,silver spring,11 - 20 years,11 - 20 years,High School,Man,White
18-24,Recruitment or HR,Human Resouces Business Partner,65000,USD,US,Wisconsin,Kenosha,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Property or Construction,"Project Manager, Mechanical",98000,USD,USA,Washington,Seattle,11 - 20 years,8 - 10 years,Some college,Woman,White
25-34,Government and Public Administration,Senior communications manager,37000,GBP,United Kingdom,NA,London,5-7 years,1 year or less,College degree,Non-binary,White
35-44,Law,Managing Principal,400000,USD,Usa,District of Columbia,Washington,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Engineering or Manufacturing,Test Engineer,88000,USD,USA,California,Los Angeles,1 year or less,1 year or less,Master's degree,Woman,White
25-34,Computing or Tech,Software development manager,160000,USD,Us,Virginia,Arlington,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education (Higher Education),Lecturer,66142,USD,USA,Georgia,Athens,8 - 10 years,8 - 10 years,PhD,Woman,White
45-54,Computing or Tech,Senior software engineer,154000,USD,United States,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American
25-34,Computing or Tech,Software engineer,180000,USD,United States,California,San Francisco,11 - 20 years,8 - 10 years,Some college,Man,White
35-44,Computing or Tech,Software Engineer,95000,USD,United States,Maryland,Baltimore,8 - 10 years,2 - 4 years,PhD,Man,White
25-34,Computing or Tech,Technical Program Manager,170000,USD,United States,California,Mountain View,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Business or Consulting,Admin Assistant,45240,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,5-7 years,Some college,Man,White
25-34,Nonprofits,Director of Legislative Affairs,75000,USD,United States,Texas,Houston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Media & Digital,General manager,40000,GBP,England,NA,Liverpool,11 - 20 years,11 - 20 years,Some college,Woman,White
25-34,Computing or Tech,Data Scientist,145000,USD,United States,New York,New York,2 - 4 years,2 - 4 years,Master's degree,Man,White
35-44,Biotech,Regulatory Affairs Manager,122000,USD,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,"Accounting, Banking & Finance",Fraud Analyst,25000,USD,USA,Oklahoma,Norman,11 - 20 years,5-7 years,Master's degree,Non-binary,White
35-44,Computing or Tech,Privacy Engineer,201000,USD,US,California,Sunnyvale,11 - 20 years,2 - 4 years,College degree,Man,"Asian or Asian American, White"
45-54,"Accounting, Banking & Finance",PMO Manager,50000,GBP,UK,NA,Edinburgh,31 - 40 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,NA
25-34,Nonprofits,Manager,60940,USD,United States,District of Columbia,Washington,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Computing or Tech,Release Manager,52000,GBP,UK,NA,"Edinburgh, UK",11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Computing or Tech,Platform Engineer,145000,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,Some college,Man,White
25-34,Government and Public Administration,Proofreader,41000,USD,USA,Maine,Augusta,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing and communications officer,27500,GBP,United Kingdom (England),NA,Sheffield,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Retail,Junior buyer,28000,GBP,UK,NA,Manchester,5-7 years,5-7 years,College degree,Woman,White
25-34,Agriculture or Forestry,Quality Assurance Analyst,52000,USD,United States,Wisconsin,Madison,2 - 4 years,1 year or less,College degree,Woman,Asian or Asian American
25-34,Media & Digital,copyeditor,75000,USD,US,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Education (Higher Education),Teacher,428000,Other,Denmark,NA,-,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Associate Director HR,87500,GBP,Uk,NA,London,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Senior DevOps Engineer,200000,USD,United States,Oregon,Ashland,11 - 20 years,11 - 20 years,Some college,Man,White
35-44,Recruitment or HR,HR Business Partner,145000,USD,United States,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Health care,Speech and language therapist,37000,GBP,England,NA,London,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Senior Accountant,72000,USD,USA,Arkansas,Little Rock,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Computing or Tech,software engineer,343200,USD,Canada,NA,Montreal,11 - 20 years,8 - 10 years,College degree,Man,Asian or Asian American
35-44,Computing or Tech,Senior data engineer,115000,USD,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman,"Asian or Asian American, White"
35-44,Health care,Improvement Consultant,86000,USD,US,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education (Higher Education),HR Assistant,42400,USD,USA,Massachusetts,Amherst,5-7 years,2 - 4 years,Some college,Man,White
45-54,Government and Public Administration,Library Manager,63000,USD,US,Texas,Dallas,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Government and Public Administration,Casework Assistant,18500,GBP,UK,NA,"Leeds, UK",5-7 years,1 year or less,Master's degree,Woman,White
35-44,Education (Primary/Secondary),Youth Services Supervisor,52000,USD,United States,Kansas,Kansas City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education (Higher Education),Senior Research Technician,41579,USD,USA,Missouri,St. Louis,5-7 years,5-7 years,College degree,Woman,White
35-44,Social Work,Therapist,49000,USD,United States,Illinois,Chicago,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Director of Operations,92500,USD,United States,Texas,Dallas,11 - 20 years,2 - 4 years,Master's degree,Man,White
35-44,Computing or Tech,Software Architect,69000,GBP,UK,NA,York,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Law,Consultant,550000,Other,denmark,NA,copenhagen,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,NA
45-54,Nonprofits,Executive Director,105000,USD,US,Washington,Seattle,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),Speech Language Pathologist,83200,USD,United States,Washington,Pasco,1 year or less,1 year or less,Master's degree,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin, White"
25-34,Government and Public Administration,Administrative assistant,38500,CAD,Canada,NA,Halifax,11 - 20 years,2 - 4 years,Some college,Woman,White
25-34,"Accounting, Banking & Finance",Staff Accountant,65000,USD,United States,Massachusetts,Cambridge,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Architectural Project Manager,77000,USD,USA,Ohio,Akron,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Computing or Tech,Lead Developer,165000,USD,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Computing or Tech,Software Architect,120000,CAD,Canada,NA,Ottawa,8 - 10 years,5-7 years,Some college,Man,White
25-34,Media & Digital,Software Engineer,101000,USD,United States,District of Columbia,Washington,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Computing or Tech,Project Manager,60000,USD,United States,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Education (Higher Education),librarian,65000,USD,US,Texas,Houston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Computing or Tech,CTO,160000,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,"Accounting, Banking & Finance",Vice President,87000,GBP,UK,NA,London,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Insurance,Actuarial Analyst,40500,GBP,UK,NA,Birmingham,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Computing or Tech,Data Manager,70000,EUR,Ireland,NA,Dublin,11 - 20 years,8 - 10 years,NA,Woman,White
25-34,Law,Project Manager,98530,USD,United States,Oregon,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Computing or Tech,Product Manager,140000,USD,USA,"New Jersey, New York",NYC,8 - 10 years,2 - 4 years,College degree,Man,White
35-44,Government and Public Administration,IT Business Analyst,112300,USD,USA,California,San Francisco,11 - 20 years,5-7 years,Master's degree,Woman,Black or African American
35-44,"Leisure, Sport & Tourism",Payroll Specialist,46800,USD,USA,Connecticut,Guilford,21 - 30 years,8 - 10 years,College degree,Woman,White
25-34,Computing or Tech,PC support Tech 2,58000,USD,United States of america,Washington,Seattle,5-7 years,5-7 years,High School,Man,White
35-44,Nonprofits,Senior Director,105000,USD,United States,Colorado,Denver,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,Senior Software Engineer,136000,USD,USA,North Carolina,Asheville,11 - 20 years,8 - 10 years,Master's degree,Man,White
25-34,"Marketing, Advertising & PR",Senior copywriter,105000,USD,USA,Washington,Seattle,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Senior software engineer,165000,CAD,Canada,NA,Vancouver,11 - 20 years,8 - 10 years,PhD,Man,White
25-34,Business or Consulting,Consultant,165000,USD,United States,Massachusetts,Boston,1 year or less,1 year or less,PhD,Man,Black or African American
25-34,Nonprofits,Community investment manager,52000,USD,USA,Florida,Orlando,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,CRM Analyst,87550,USD,USA,New York,New York,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Property or Construction,Sr. Project Manager,154000,USD,USA,Texas,El Paso,8 - 10 years,1 year or less,Master's degree,Other or prefer not to answer,"Hispanic, Latino, or Spanish origin, White"
35-44,Health care,Social Work,75000,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Transport or Logistics,Senior Data Manager,95000,EUR,Ireland,NA,Dublin,11 - 20 years,11 - 20 years,NA,Other or prefer not to answer,Another option not listed here or prefer not to answer
25-34,Education (Higher Education),Executive Communications Specialist,111000,USD,United States,California,Oakland,11 - 20 years,8 - 10 years,Master's degree,Woman,White
55-64,Media & Digital,"Associate, Client Finance",40000,USD,USA,Pennsylvania,King of Prussia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18-24,Recruitment or HR,Hr Generalist,52000,USD,United States of America,Illinois,Chicago,5-7 years,2 - 4 years,College degree,Man,Black or African American
25-34,Retail,Assistant Manager,40560,CAD,Canada,NA,Vancouver,5-7 years,1 year or less,Some college,Woman,White
45-54,Computing or Tech,Principal iOS Software Engineer,225000,USD,US,Washington,Seattle,31 - 40 years,31 - 40 years,Some college,Man,White
35-44,Computing or Tech,UX Designer,140000,USD,United States,Washington,Seattle,8 - 10 years,5-7 years,College degree,Man,White
25-34,Computing or Tech,Senior Product Manager,170000,USD,USA,New York,New York,8 - 10 years,5-7 years,College degree,Man,White
25-34,Media & Digital,Software Engineer,155000,USD,USA,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Non-binary,"Hispanic, Latino, or Spanish origin, White"
25-34,Education (Higher Education),Higher Education Assistant,68476,USD,U.S,New York,New York City,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
25-34,"Marketing, Advertising & PR",Director of Ecommerce,85000,USD,United States,Oregon,Portland,8 - 10 years,2 - 4 years,College degree,Woman,"Black or African American, White"
25-34,Media & Digital,Digital Product Manager,46000,USD,USA,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Computing or Tech,Data Science Manager,98000,GBP,UK,NA,London,11 - 20 years,8 - 10 years,College degree,Woman,White
55-64,"Accounting, Banking & Finance",Senior Accountant,72000,USD,USA,Texas,Houston,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Computing or Tech,Software Engineer,54000,EUR,Germany,NA,Berlin,5-7 years,5-7 years,College degree,Man,White
35-44,Government and Public Administration,Statistician,118000,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Recruitment or HR,HR Generalist,70000,USD,US,Georgia,Atlanta,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Research Associate,93000,USD,United States,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman,White
18-24,Media & Digital,Software Engineer,97000,USD,United States,District of Columbia,Washington DC,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Computing or Tech,Customer Success Manager,85000,USD,United States,New York,New York City,8 - 10 years,5-7 years,College degree,Woman,"Black or African American, White"
35-44,Computing or Tech,data team lead,220000,USD,us,California,san francisco,11 - 20 years,8 - 10 years,Master's degree,Man,White
25-34,Business or Consulting,Technology Consulting Manager,139900,USD,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,Black or African American
25-34,Computing or Tech,iOS Developer,128000,USD,United States,Montana,Bozeman,5-7 years,2 - 4 years,College degree,Man,White
45-54,Computing or Tech,Head of Developer Relations,165000,USD,United States,California,San Francisco,21 - 30 years,8 - 10 years,College degree,Woman,NA
55-64,Education (Higher Education),supervisor,80000,USD,us,Arizona,glendale,31 - 40 years,11 - 20 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer,100000,EUR,Germany,NA,Kiel,5-7 years,5-7 years,Master's degree,Man,White
18-24,Health care,Pharmacy Technician,33280,USD,U.S.A.,Wisconsin,Madison,2 - 4 years,1 year or less,College degree,Woman,White
45-54,Education (Higher Education),Program Manager,84000,USD,USA,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofits,Engineering Manager,145000,USD,USA,California,San Francisco,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Systems Administrator Team Lead,60000,GBP,United Kingdom,NA,London,11 - 20 years,5-7 years,Master's degree,Man,White
25-34,Education (Higher Education),Senior Records Clerk,43900,CAD,Canada,NA,Halifax,5-7 years,2 - 4 years,Master's degree,Other or prefer not to answer,White
35-44,Engineering or Manufacturing,Senior electrical engineer,176000,USD,United States,California,Cupertino,8 - 10 years,8 - 10 years,PhD,Man,White
25-34,Computing or Tech,Technical Writer,128000,USD,USA,New York,New York,8 - 10 years,5-7 years,College degree,Woman,White
55-64,Nonprofits,Senior data analyst,115000,USD,USA,District of Columbia,Washington DC,31 - 40 years,31 - 40 years,Master's degree,Woman,White
45-54,Government and Public Administration,Outreach and Education Coordinator,43860,USD,United States,Idaho,Boise,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Law,Paralegal,46000,USD,Usa,North Carolina,Raleigh,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Recruitment or HR,Clinician Recruiter,95220,USD,USA,Texas,Houston,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Pet care/grooming,Dog groomer,25000,USD,United States,Pennsylvania,Pittsburgh,11 - 20 years,2 - 4 years,Some college,Other or prefer not to answer,Another option not listed here or prefer not to answer
35-44,Computing or Tech,Training Manager,109000,USD,United States,Utah,Salt Lake City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofits,Manager,106000,USD,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Health care,Psychologist,90000,USD,USA,Wisconsin,Madison,2 - 4 years,2 - 4 years,PhD,Woman,White
35-44,Computing or Tech,Senior Application Developer,68000,EUR,Germany,NA,Bonn,8 - 10 years,5-7 years,Master's degree,Man,White
35-44,Computing or Tech,Engineering Manager,245000,USD,USA,California,San Francisco,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Nonprofits,Multi-site Coordinator,33900,USD,United States,Michigan,Houghton,21 - 30 years,11 - 20 years,PhD,Woman,White
45-54,Law,Firm Administrator,105000,USD,USA,California,Walnut Creek,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Computing or Tech,Senior UX Designer,140000,USD,USA,California,San Francisco,11 - 20 years,8 - 10 years,Some college,Man,White
35-44,Insurance,Account Manager,56000,USD,United States,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree,Woman,"Asian or Asian American, White"
45-54,Utilities & Telecommunications,UC Project Manager,61000,USD,United States,Washington,Seattle,21 - 30 years,21 - 30 years,Some college,Woman,White
35-44,Engineering or Manufacturing,Senior Geochemist,87000,USD,United States,Minnesota,Minneapolis,8 - 10 years,11 - 20 years,Master's degree,Woman,White
25-34,Pharmaceutical R&D,Senior scientist,119000,USD,USA,Illinois,Chicago,1 year or less,1 year or less,PhD,Woman,Asian or Asian American
45-54,Health care,Nurse practitioner,75000,USD,USA,California,Sacramento,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Business or Consulting,Consulting Manager,165000,USD,US,Nevada,"Full time remote employee, pre-pandemic",21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Business or Consulting,Administrative Assistant,57000,USD,USA,Washington,Seattle,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Computing or Tech,Senior SRE,192000,USD,USA,New Jersey,"Stockton, NJ",8 - 10 years,8 - 10 years,College degree,Man,White
25-34,Computing or Tech,Software Engineer II,132000,USD,United States,Colorado,Boulder,5-7 years,5-7 years,College degree,Man,White
25-34,Government and Public Administration,Community Recreation Director,66000,USD,US,Minnesota,Saint Paul,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Product Manager,90000,USD,USA,California,Long Beach,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Education (Primary/Secondary),Teacher,90000,USD,USA,Connecticut,Meriden,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Health care,Site Contracts,87500,USD,United States,North Carolina,Raleigh,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Health care,HRBP,102000,USD,United States of America,Minnesota,Minneapolis,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,"Sr. Manager, Software Engineering",205000,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,NA,"Asian or Asian American, White"
25-34,Computing or Tech,Frontend developer,92000,GBP,"UK, but for globally fully remote company",NA,"London, but for globally fully remote company",5-7 years,5-7 years,Some college,Man,White
25-34,Engineering or Manufacturing,Mechanical Engineer II,91182,USD,United States,Maryland,Baltimore,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Health care,CT Technologist,110000,USD,USA,Nevada,Las Vegas,21 - 30 years,11 - 20 years,Some college,Woman,Asian or Asian American
45-54,Media & Digital,Editor in chief,470000,USD,United States,New York,New York,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
35-44,Education (Higher Education),Senior financial administrator,98500,USD,US,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Business or Consulting,Logistics Coordinator,40000,USD,USA,Massachusetts,Boston,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Law,Lawyer (Public Sector),95000,USD,United States,District of Columbia,Washington,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Health care,Registered Nurse,75000,USD,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Government and Public Administration,Recreation Program Specialist,45000,USD,USA,North Carolina,Raleigh,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Law,Counsel,255000,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Education (Primary/Secondary),Special Education teacher,82000,USD,US,New York,New York,21 - 30 years,8 - 10 years,Master's degree,Woman,White
35-44,Computing or Tech,Technical Lead,195000,USD,Australian,NA,Sydney,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Health care,Managet,100000,USD,Usa,Arizona,Don’t want to answer,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Business or Consulting,"Manager, Project Management Office",119000,USD,USA,Minnesota,Medina,11 - 20 years,8 - 10 years,College degree,Woman,White
18-24,Government and Public Administration,International affairs consultant,65000,USD,USA,New York,NYC,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Project Manager,130000,USD,Usa,Massachusetts,North Reading,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,"Accounting, Banking & Finance",VP of Operations,53000,USD,USA,Pennsylvania,Greensburg,11 - 20 years,8 - 10 years,Some college,Woman,White
55-64,Health care,Nurse Practitioner,96000,USD,Usa,Massachusetts,Greenfield,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Technical Services Engineer,120000,USD,United States of America,Wisconsin,Madison,5-7 years,5-7 years,College degree,Man,White
35-44,Computing or Tech,Software Engineering Manager,235000,USD,United States,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Computing or Tech,Design Program Manager,140000,USD,USA,Oregon,Salem,21 - 30 years,11 - 20 years,College degree,Woman,White
45-54,Computing or Tech,Program Manager,158000,USD,USA,District of Columbia,Washington,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Media & Digital,Revenue Manager,92500,USD,US,New York,NYC,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Computing or Tech,"Sr director, design",350000,USD,United States,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Computing or Tech,senior program manager,130000,USD,US,California,san francisco,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Government and Public Administration,Senior Data Analytics Developer,170000,USD,USA,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofits,Registrar,38000,USD,United States of America,Missouri,University City,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Business or Consulting,HR Consultant,106000,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Science Research,Biological Technician,56763,USD,USA,Wisconsin,Madison,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Asian or Asian American
25-34,Utilities & Telecommunications,Digital Marketing Specialist,80000,AUD/NZD,Australia,NA,Melbourne,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
45-54,Computing or Tech,Team Lead,120000,USD,US,West Virginia,Charleston,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Computing or Tech,"Manager, Information Security",226500,USD,United States,California,San Jose,8 - 10 years,8 - 10 years,High School,Man,White
25-34,"Marketing, Advertising & PR","VP, Director",170000,USD,US,New York,NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18-24,Nonprofits,Project Coordinator,45000,USD,United States,District of Columbia,Washington,2 - 4 years,1 year or less,College degree,Woman,White
25-34,Food industry,Senior manager of quality assurance,60000,USD,USA,Tennessee,Nashville,5-7 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Team Lead,80000,USD,USA,Tennessee,Nashville,8 - 10 years,2 - 4 years,College degree,Woman,White
45-54,Computing or Tech,Staff Software Engineer,216000,USD,US,California,San Francisco,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Education (Higher Education),Project Manager,75000,USD,USA,Washington,Seattle,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Health care,Director,205000,USD,Us,New Jersey,Princeton,11 - 20 years,5-7 years,PhD,Woman,White
35-44,Law,Staff Attorney,60593,USD,USA,Maryland,Hyattsville,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Nonprofits,Associate,13000,USD,United States,Iowa,Iowa City,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Value stream manager,123000,USD,Usa,Indiana,Fort wayne,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Hospitality & Events,Senior Manager events,72000,CAD,Canada,NA,Toronto,5-7 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
35-44,Computing or Tech,Solution Architect,123000,USD,USA,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Health care,"Director, clinical operations",242500,USD,Usa,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
45-54,Law,IT Support Specialist,75000,USD,United States,North Carolina,Charlotte,11 - 20 years,11 - 20 years,NA,Man,White
25-34,Health care,Nurse,70000,CAD,Canada,NA,Canada,11 - 20 years,8 - 10 years,Master's degree,Woman,Black or African American
35-44,Engineering or Manufacturing,Project Manager,66000,USD,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Man,White
35-44,Engineering or Manufacturing,Senior Software Engineer,149000,USD,USA,California,Los Angeles,11 - 20 years,5-7 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
25-34,Pharmaceuticals,Project manager,62000,USD,United states,"Pennsylvania, Rhode Island",Souderton,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Media & Digital,Podcast Strategy,120000,USD,United States,California,Los Angeles,11 - 20 years,5-7 years,College degree,Man,White
25-34,Engineering or Manufacturing,Document Controller,51000,AUD/NZD,New Zealand,NA,Timaru,5-7 years,1 year or less,College degree,Woman,White
35-44,Computing or Tech,Senior Software Developer,140000,USD,United States,New York,Rochester,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Health care,Biostatistician,72000,USD,US,Massachusetts,Boston,8 - 10 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Research,Research assistant 2,43000,USD,USA,Oregon,Portland,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Media & Digital,Newsletter Producer,53000,USD,United States,Connecticut,Home,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Computing or Tech,Principal Software Engineer,185000,USD,United States,Illinois,Remote,21 - 30 years,21 - 30 years,College degree,Woman,White
45-54,Computing or Tech,Senior Director,200000,USD,United States,"California, Oregon",Portland,31 - 40 years,21 - 30 years,Some college,Man,White
35-44,Business or Consulting,Consulting Director,175000,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Recruitment or HR,Regional HR Manager,75000,USD,USA,California,Sacramento,8 - 10 years,8 - 10 years,College degree,Woman,White
